"project_id","burn_id","site_id","burn_year","count_year","years_postfire","latitude","longitude","ecozone","ecozone_combined","elevation","moisture","residual_organic","tslf","canopy_combustion","cmd_sm_norm","cmd_sm_1yf","cmd_sm_2yf","cmd_diff_y1","cmd_diff_y2","abibal_basal_area","betneo_basal_area","betpap_basal_area","larlar_basal_area","picmar_basal_area","picgla_basal_area","pinban_basal_area","popbal_basal_area","poptre_basal_area","unknown_basal_area","total_basal_area","abibal_density","betneo_density","betpap_density","larlar_density","picgla_density","picmar_density","pinban_density","popbal_density","poptre_density","unknown_density","conifer_density","broad_density","total_density","abibal_sdlng_dens","betneo_sdlng_dens","betpap_sdlng_dens","larlar_sdlng_dens","picgla_sdlng_dens","picmar_sdlng_dens","pinban_sdlng_dens","popbal_sdlng_dens","poptre_sdlng_dens","total_sdlng_dens","betpap_sucker_dens","popbal_sucker_dens","poptre_sucker_dens","betula_sdlng_sucker_dens","populus_sdlng_sucker_dens","broad_sdlng_sucker_dens","conifer_sdlng_dens","total_sdlng_sucker_dens"
"DDuros","1989 7101","6EN_9",1989,2002,13,53.8386,-77.40105,"TAIGA SHIELD","SHIELD E",183,2,4.3,67,0,37,45,67,-8,-30,-9999,-9999,-9999,1.2,3.7,-9999,0,-9999,0,-9999,4.9,-9999,-9999,-9999,0,-9999,0.4,0,-9999,0,-9999,0.5,0,0.47,-9999,-9999,-9999,0,-9999,0.3,0,-9999,0,0.3,-9999,-9999,-9999,0,0,0,0.3,0.3
"DDuros","1989 7076","3S_10",1989,2002,13,52.42372,-77.3067,"HUDSON PLAIN","PLAINS E",208.4,2,26,28,2,45,48,79,-3,-34,-9999,-9999,-9999,0,0,-9999,0.1,-9999,0,-9999,0.1,-9999,-9999,-9999,0,-9999,0.2,0.3,-9999,0,-9999,0.4,0,0.42,-9999,-9999,-9999,0,-9999,0,0.2,-9999,0,0.2,-9999,-9999,-9999,0,0,0,0.2,0.2
"DDuros","1989 7101","5EN_6",1989,2002,13,53.83898,-77.40033,"TAIGA SHIELD","SHIELD E",184.1,3,34,91,2,37,45,67,-8,-30,-9999,-9999,-9999,0.1,5.5,-9999,0,-9999,0,-9999,5.7,-9999,-9999,-9999,0,-9999,0.8,0,-9999,0,-9999,0.8,0,0.83,-9999,-9999,-9999,0.1,-9999,0.8,0,-9999,0,0.9,-9999,-9999,-9999,0,0,0,0.9,0.9
"DDuros","1989 7076","4S_7",1989,2002,13,52.42199,-77.34031,"HUDSON PLAIN","PLAINS E",191.8,3,49,29,2,47,48,82,-1,-35,-9999,-9999,-9999,0.1,1,-9999,0,-9999,0,-9999,1.1,-9999,-9999,-9999,0.2,-9999,0.6,0,-9999,0,-9999,0.8,0,0.78,-9999,-9999,-9999,0,-9999,0.4,0.1,-9999,0,0.5,-9999,-9999,-9999,0,0,0,0.5,0.5
"DDuros","1989 7093","6N_6",1989,2002,13,53.23947,-77.41512,"TAIGA SHIELD","SHIELD E",193.3,1,2,16,0,44,48,73,-4,-29,-9999,-9999,-9999,0,1.2,-9999,0,-9999,0,-9999,1.2,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,-9999,0.5,0,0.45,-9999,-9999,-9999,0.1,-9999,0.5,0.2,-9999,0,0.8,-9999,-9999,-9999,0,0,0,0.8,0.8
"DDuros","1989 7101","14EN_14",1989,2002,13,53.86525,-77.4322,"TAIGA SHIELD","SHIELD E",178.2,2,17,67,1,36,45,66,-9,-30,-9999,-9999,-9999,0,2.9,-9999,0,-9999,0,-9999,2.9,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,-9999,0.5,0,0.53,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,0.5,-9999,-9999,-9999,0,0,0,0.5,0.5
"DDuros","1989 7076","1S_2",1989,2002,13,52.41057,-77.2899,"HUDSON PLAIN","PLAINS E",193,3,46.7,77,2,47,48,81,-1,-34,-9999,-9999,-9999,0,3.7,-9999,0,-9999,0,-9999,3.7,-9999,-9999,-9999,0,-9999,0.8,0,-9999,0,-9999,0.8,0,0.78,-9999,-9999,-9999,0.1,-9999,0.7,0,-9999,0,0.8,-9999,-9999,-9999,0,0,0,0.8,0.8
"DDuros","1989 7101","9EN_13",1989,2002,13,53.83533,-77.36568,"TAIGA SHIELD","SHIELD E",183.7,3,60,67,2,36,45,67,-9,-31,-9999,-9999,-9999,0,4.7,-9999,0,-9999,0,-9999,4.7,-9999,-9999,-9999,0,-9999,0.5,0.1,-9999,0,-9999,0.7,0,0.65,-9999,-9999,-9999,0,-9999,3.6,0,-9999,0,3.6,-9999,-9999,-9999,0,0,0,3.6,3.6
"DDuros","1989 7076","12S_15",1989,2002,13,52.49213,-77.32566,"HUDSON PLAIN","PLAINS E",226.1,3,56.7,52,2,43,47,75,-4,-32,-9999,-9999,-9999,0,7.1,-9999,0,-9999,0,-9999,7.1,-9999,-9999,-9999,0,-9999,0.4,0,-9999,0,-9999,0.4,0,0.43,-9999,-9999,-9999,0,-9999,2.3,0.1,-9999,0,2.4,-9999,-9999,-9999,0,0,0,2.4,2.4
"DDuros","1989 7101","14EN_10",1989,2002,13,53.86348,-77.43284,"TAIGA SHIELD","SHIELD E",176.1,2,6.7,48,0,37,45,67,-8,-30,-9999,-9999,-9999,0,3.5,-9999,0,-9999,0,-9999,3.5,-9999,-9999,-9999,0,-9999,0.7,0,-9999,0,-9999,0.7,0,0.73,-9999,-9999,-9999,0.1,-9999,0.3,0,-9999,0,0.4,-9999,-9999,-9999,0,0,0,0.4,0.4
"DDuros","1989 7093","2N_6",1989,2002,13,53.27497,-77.43072,"TAIGA SHIELD","SHIELD E",143.8,3,38.3,204,2,47,49,76,-2,-29,-9999,-9999,-9999,0,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,-9999,0.5,0,0.52,-9999,-9999,-9999,0.2,-9999,0.3,0,-9999,0,0.5,-9999,-9999,-9999,0,0,0,0.5,0.5
"DDuros","1989 7076","8S_3",1989,2002,13,52.45993,-77.33879,"HUDSON PLAIN","PLAINS E",211.3,2,3.7,67,0,44,47,78,-3,-34,-9999,-9999,-9999,0,4.6,-9999,5.1,-9999,0,-9999,9.7,-9999,-9999,-9999,0,-9999,0.2,0.4,-9999,0,-9999,0.5,0,0.52,-9999,-9999,-9999,0,-9999,0,0,-9999,0,0,-9999,-9999,-9999,0,0,0,0,0
"DDuros","1989 7076","10S_5",1989,2002,13,52.47872,-77.34191,"HUDSON PLAIN","PLAINS E",229,3,60,188,2,43,47,75,-4,-32,-9999,-9999,-9999,0,6.1,-9999,0,-9999,0,-9999,6.1,-9999,-9999,-9999,0,-9999,1.1,0,-9999,0,-9999,1.1,0,1.12,-9999,-9999,-9999,0,-9999,0.3,0,-9999,0,0.3,-9999,-9999,-9999,0,0,0,0.3,0.3
"DDuros","1989 7093","6N_10",1989,2002,13,53.23706,-77.41812,"TAIGA SHIELD","SHIELD E",191.3,1,0.7,126,0,44,48,73,-4,-29,-9999,-9999,-9999,0.3,0.1,-9999,0,-9999,0,-9999,0.5,-9999,-9999,-9999,0,-9999,0.3,0,-9999,0,-9999,0.3,0,0.3,-9999,-9999,-9999,0.1,-9999,0.1,0,-9999,0,0.2,-9999,-9999,-9999,0,0,0,0.2,0.2
"DDuros","1989 7101","15EN_11",1989,2002,13,53.82567,-77.35465,"TAIGA SHIELD","SHIELD E",170.2,2,2.7,62,0,37,46,67,-9,-30,-9999,-9999,-9999,0,20.8,-9999,0,-9999,0,-9999,20.8,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,-9999,0.5,0,0.47,-9999,-9999,-9999,0,-9999,1.3,0,-9999,0,1.3,-9999,-9999,-9999,0,0,0,1.3,1.3
"DDuros","1989 7093","1N_6",1989,2002,13,53.28279,-77.43153,"TAIGA SHIELD","SHIELD E",136.4,3,20,16,1,47,50,77,-3,-30,-9999,-9999,-9999,0,8.5,-9999,0,-9999,0,-9999,8.5,-9999,-9999,-9999,0,-9999,1.3,0,-9999,0,-9999,1.3,0,1.27,-9999,-9999,-9999,0,-9999,1.6,0,-9999,0,1.6,-9999,-9999,-9999,0,0,0,1.6,1.6
"DDuros","1989 7076","6S_1",1989,2002,13,52.44492,-77.32438,"HUDSON PLAIN","PLAINS E",212.6,1,2.7,32,0,44,47,78,-3,-34,-9999,-9999,-9999,0,0,-9999,7.2,-9999,0,-9999,7.2,-9999,-9999,-9999,0,-9999,0,0.6,-9999,0,-9999,0.6,0,0.63,-9999,-9999,-9999,0,-9999,0.2,0.2,-9999,0.2,0.6,-9999,-9999,-9999,0,0.2,0.2,0.4,0.6
"DDuros","1989 7093","7N_13",1989,2002,13,53.2282,-77.43491,"TAIGA SHIELD","SHIELD E",186.8,2,10.3,213,1,44,48,74,-4,-30,-9999,-9999,-9999,0,8.6,-9999,0,-9999,0,-9999,8.6,-9999,-9999,-9999,0,-9999,0.7,0,-9999,0,-9999,0.7,0,0.72,-9999,-9999,-9999,0,-9999,0.7,0,-9999,0,0.7,-9999,-9999,-9999,0,0,0,0.7,0.7
"DDuros","1989 7093","2N_7",1989,2002,13,53.27451,-77.43138,"TAIGA SHIELD","SHIELD E",146.7,2,22.3,59,1,47,49,76,-2,-29,-9999,-9999,-9999,1.1,1.3,-9999,0,-9999,0,-9999,2.4,-9999,-9999,-9999,0.1,-9999,0.4,0,-9999,0,-9999,0.4,0,0.42,-9999,-9999,-9999,0.3,-9999,0.8,0,-9999,0,1.1,-9999,-9999,-9999,0,0,0,1.1,1.1
